State,Area name,"Percent of adults with a bachelor's degree or higher, 2012-2016"
US,United States,30.315
AL,Alabama,24.01
AL,Autauga County,24.593
AL,Baldwin County,29.547
AL,Barbour County,12.868
AL,Bibb County,12
AL,Blount County,13.05
AL,Bullock County,10.255
AL,Butler County,16.08
AL,Calhoun County,17.653
AL,Chambers County,12.484
AL,Cherokee County,13.962
AL,Chilton County,14.855
AL,Choctaw County,11.96
AL,Clarke County,12.137
AL,Clay County,11.063
AL,Cleburne County,11.528
AL,Coffee County,23.667
AL,Colbert County,18.471
AL,Conecuh County,8.663
AL,Coosa County,9.941
AL,Covington County,14.921
AL,Crenshaw County,14.648
AL,Cullman County,14.969
AL,Dale County,16.069
AL,Dallas County,13.784
AL,DeKalb County,11.366
AL,Elmore County,22.238
AL,Escambia County,11.626
AL,Etowah County,16.492
AL,Fayette County,14.145
AL,Franklin County,12.39
AL,Geneva County,11.662
AL,Greene County,9.975
AL,Hale County,14.029
AL,Henry County,16.144
AL,Houston County,21.018
AL,Jackson County,12.578
AL,Jefferson County,31.44
AL,Lamar County,13.063
AL,Lauderdale County,21.679
AL,Lawrence County,10.309
AL,Lee County,34.412
AL,Limestone County,23.261
AL,Lowndes County,12.282
AL,Macon County,20.042
AL,Madison County,40.672
AL,Marengo County,14.789
AL,Marion County,12.466
AL,Marshall County,16.567
AL,Mobile County,22.512
AL,Monroe County,12.395
AL,Montgomery County,31.46
AL,Morgan County,21.429
AL,Perry County,14.493
AL,Pickens County,11.119
AL,Pike County,23.988
AL,Randolph County,15.379
AL,Russell County,17.014
AL,St. Clair County,16.104
AL,Shelby County,41.423
AL,Sumter County,18.12
AL,Talladega County,13.091
AL,Tallapoosa County,17.316
AL,Tuscaloosa County,29.369
AL,Walker County,10.543
AL,Washington County,9.623
AL,Wilcox County,11.302
AL,Winston County,13.089
AK,Alaska,28.792
AK,Aleutian Islands,
AK,Aleutians East Borough,11.945
AK,Aleutians West Census Area,15.699
AK,Anchorage Municipality,34.298
AK,Bethel Census Area,11.417
AK,Bristol Bay Borough,19.106
AK,Denali Borough,38.523
AK,Dillingham Census Area,17.564
AK,Fairbanks North Star Borough,33.373
AK,Haines Borough,40.444
AK,Hoonah-Angoon Census Area,24.256
AK,Juneau City and Borough,39.434
AK,Kenai Peninsula Borough,23.681
AK,Ketchikan Gateway Borough,23.77
AK,Kodiak Island Borough,24.85
AK,Kusilvak Census Area,4.797
AK,Kuskokwim Division,
AK,Lake and Peninsula Borough,12.455
AK,Matanuska-Susitna Borough,20.588
AK,Nome Census Area,13.91
AK,North Slope Borough,14.182
AK,Northwest Arctic Borough,10.762
AK,Petersburg Census Area,25.012
AK,Prince of Wales-Hyder Census Area,15.792
AK,Prince of Wales-Outer Ketchikan Census Area,
AK,Sitka City and Borough,32.354
AK,Skagway Municipality,33.705
AK,Skagway-Yakutat-Angoon Census Area,
AK,Skagway-Hoonah-Angoon Census Area,
AK,Southeast Fairbanks Census Area,19.199
AK,Upper Yukon Division,
AK,Valdez-Cordova Census Area,30.088
AK,Wrangell City and Borough,20.26
AK,Wrangell-Petersburg Census Area,
AK,Yakutat City and Borough,19.734
AK,Yukon-Koyukuk Census Area,12.256
AZ,Arizona,27.956
AZ,Apache County,11.059
AZ,Cochise County,23.163
AZ,Coconino County,34.209
AZ,Gila County,17.737
AZ,Graham County,13.324
AZ,Greenlee County,12.197
AZ,La Paz County,10.437
AZ,Maricopa County,30.969
AZ,Mohave County,11.879
AZ,Navajo County,14.492
AZ,Pima County,30.801
AZ,Pinal County,18.471
AZ,Santa Cruz County,22.493
AZ,Yavapai County,25.542
AZ,Yuma County,14.387
AR,Arkansas,21.506
AR,Arkansas County,14.429
AR,Ashley County,13.587
AR,Baxter County,17.738
AR,Benton County,30.723
AR,Boone County,14.968
AR,Bradley County,14.231
AR,Calhoun County,12.014
AR,Carroll County,17.692
AR,Chicot County,13.134
AR,Clark County,24.717
AR,Clay County,11.349
AR,Cleburne County,15.382
AR,Cleveland County,15.747
AR,Columbia County,21.915
AR,Conway County,16.919
AR,Craighead County,25.392
AR,Crawford County,13.55
AR,Crittenden County,17.391
AR,Cross County,14.748
AR,Dallas County,12.688
AR,Desha County,13.184
AR,Drew County,19.844
AR,Faulkner County,29.114
AR,Franklin County,13.014
AR,Fulton County,11.034
AR,Garland County,20.623
AR,Grant County,19.837
AR,Greene County,16.443
AR,Hempstead County,12.616
AR,Hot Spring County,13.483
AR,Howard County,15.745
AR,Independence County,17.619
AR,Izard County,12.379
AR,Jackson County,8.646
AR,Jefferson County,16.989
AR,Johnson County,15.941
AR,Lafayette County,13.678
AR,Lawrence County,13.411
AR,Lee County,8.157
AR,Lincoln County,7.803
AR,Little River County,9.719
AR,Logan County,13.012
AR,Lonoke County,19.506
AR,Madison County,11.331
AR,Marion County,15.316
AR,Miller County,14.497
AR,Mississippi County,12.637
AR,Monroe County,9.053
AR,Montgomery County,12.511
AR,Nevada County,15.057
AR,Newton County,14.831
AR,Ouachita County,16.616
AR,Perry County,10.626
AR,Phillips County,11.665
AR,Pike County,14.847
AR,Poinsett County,9.576
AR,Polk County,12.268
AR,Pope County,21.334
AR,Prairie County,13.023
AR,Pulaski County,32.933
AR,Randolph County,13.677
AR,St. Francis County,10.396
AR,Saline County,24.53
AR,Scott County,10.582
AR,Searcy County,14.444
AR,Sebastian County,18.789
AR,Sevier County,9.381
AR,Sharp County,10.09
AR,Stone County,14.447
AR,Union County,19.229
AR,Van Buren County,13.618
AR,Washington County,31.177
AR,White County,19.342
AR,Woodruff County,10.217
AR,Yell County,14.378
CA,California,31.996
CA,Alameda County,43.888
CA,Alpine County,29.747
CA,Amador County,21.513
CA,Butte County,26.146
CA,Calaveras County,20.22
CA,Colusa County,14.427
CA,Contra Costa County,40.27
CA,Del Norte County,14.907
CA,El Dorado County,32.983
CA,Fresno County,19.732
CA,Glenn County,12.708
CA,Humboldt County,28.226
CA,Imperial County,13.957
CA,Inyo County,24.492
CA,Kern County,15.665
CA,Kings County,12.789
CA,Lake County,16.157
CA,Lassen County,12.538
CA,Los Angeles County,30.764
CA,Madera County,13.13
CA,Marin County,57.081
CA,Mariposa County,22.637
CA,Mendocino County,24.079
CA,Merced County,13.662
CA,Modoc County,18.27
CA,Mono County,30.645
CA,Monterey County,23.649
CA,Napa County,33.046
CA,Nevada County,34.402
CA,Orange County,38.447
CA,Placer County,36.902
CA,Plumas County,21.939
CA,Riverside County,21.189
CA,Sacramento County,29.284
CA,San Benito County,18.955
CA,San Bernardino County,19.317
CA,San Diego County,36.494
CA,San Francisco County,54.793
CA,San Joaquin County,18.162
CA,San Luis Obispo County,34.059
CA,San Mateo County,47.051
CA,Santa Barbara County,32.231
CA,Santa Clara County,49.103
CA,Santa Cruz County,38.991
CA,Shasta County,20.091
CA,Sierra County,19.782
CA,Siskiyou County,22.156
CA,Solano County,25.122
CA,Sonoma County,33.068
CA,Stanislaus County,16.52
CA,Sutter County,17.901
CA,Tehama County,13.806
CA,Trinity County,20.065
CA,Tulare County,13.992
CA,Tuolumne County,19.742
CA,Ventura County,32.2
CA,Yolo County,40.024
CA,Yuba County,15.548
CO,Colorado,38.707
CO,Adams County,22.368
CO,Alamosa County,25.804
CO,Arapahoe County,40.73
CO,Archuleta County,34.931
CO,Baca County,21.84
CO,Bent County,9.492
CO,Boulder County,59.313
CO,Broomfield County,52.457
CO,Chaffee County,34.412
CO,Cheyenne County,23.28
CO,Clear Creek County,44.562
CO,Conejos County,18.34
CO,Costilla County,20.031
CO,Crowley County,10.249
CO,Custer County,29.403
CO,Delta County,19.606
CO,Denver County,45.719
CO,Dolores County,20.284
CO,Douglas County,57.526
CO,Eagle County,45.035
CO,Elbert County,32.822
CO,El Paso County,36.566
CO,Fremont County,16.397
CO,Garfield County,29.135
CO,Gilpin County,34.365
CO,Grand County,37.171
CO,Gunnison County,52.593
CO,Hinsdale County,40.942
CO,Huerfano County,25.991
CO,Jackson County,19.072
CO,Jefferson County,42.22
CO,Kiowa County,20.233
CO,Kit Carson County,13.831
CO,Lake County,30.914
CO,La Plata County,42.998
CO,Larimer County,45.275
CO,Las Animas County,18.948
CO,Lincoln County,13.68
CO,Logan County,16.716
CO,Mesa County,26.1
CO,Mineral County,42.496
CO,Moffat County,18.868
CO,Montezuma County,27.019
CO,Montrose County,23.782
CO,Morgan County,16.104
CO,Otero County,17.112
CO,Ouray County,54.492
CO,Park County,30.479
CO,Phillips County,20.395
CO,Pitkin County,60.435
CO,Prowers County,15.394
CO,Pueblo County,21.239
CO,Rio Blanco County,21.849
CO,Rio Grande County,22.567
CO,Routt County,49.413
CO,Saguache County,25.469
CO,San Juan County,28.446
CO,San Miguel County,55.064
CO,Sedgwick County,19.812
CO,Summit County,49.918
CO,Teller County,32.575
CO,Washington County,15.992
CO,Weld County,26.762
CO,Yuma County,21.391
CT,Connecticut,38.048
CT,Fairfield County,46.362
CT,Hartford County,36.866
CT,Litchfield County,34.017
CT,Middlesex County,40.928
CT,New Haven County,34.288
CT,New London County,32.416
CT,Tolland County,38.86
CT,Windham County,23.857
DE,Delaware,30.475
DE,Kent County,23.122
DE,New Castle County,35.429
DE,Sussex County,23.885
DC,District of Columbia,55.36
DC,District of Columbia,55.36
FL,Florida,27.883
FL,Alachua County,41.515
FL,Baker County,12.764
FL,Bay County,22.534
FL,Bradford County,11.779
FL,Brevard County,27.729
FL,Broward County,31.016
FL,Calhoun County,10.476
FL,Charlotte County,21.604
FL,Citrus County,17.846
FL,Clay County,23.938
FL,Collier County,33.881
FL,Columbia County,15.909
FL,DeSoto County,10.039
FL,Dixie County,6.397
FL,Duval County,28.089
FL,Escambia County,24.883
FL,Flagler County,23.322
FL,Franklin County,16.734
FL,Gadsden County,17.482
FL,Gilchrist County,12.345
FL,Glades County,8.881
FL,Gulf County,16.711
FL,Hamilton County,10.201
FL,Hardee County,9.631
FL,Hendry County,9.138
FL,Hernando County,16.404
FL,Highlands County,16.469
FL,Hillsborough County,31.433
FL,Holmes County,12.336
FL,Indian River County,27.167
FL,Jackson County,13.69
FL,Jefferson County,19.015
FL,Lafayette County,13.611
FL,Lake County,21.669
FL,Lee County,26.717
FL,Leon County,45.243
FL,Levy County,11.163
FL,Liberty County,12.462
FL,Madison County,12.342
FL,Manatee County,27.874
FL,Marion County,18.383
FL,Martin County,31.536
FL,Miami-Dade County,27.282
FL,Monroe County,31.071
FL,Nassau County,24.527
FL,Okaloosa County,29.441
FL,Okeechobee County,10.724
FL,Orange County,31.923
FL,Osceola County,18.677
FL,Palm Beach County,34.189
FL,Pasco County,22.484
FL,Pinellas County,29.511
FL,Polk County,19.461
FL,Putnam County,12.679
FL,St. Johns County,42.475
FL,St. Lucie County,19.832
FL,Santa Rosa County,26.888
FL,Sarasota County,33.058
FL,Seminole County,35.846
FL,Sumter County,29.817
FL,Suwannee County,12.038
FL,Taylor County,9.828
FL,Union County,7.601
FL,Volusia County,22.416
FL,Wakulla County,16.641
FL,Walton County,26.309
FL,Washington County,10.984
GA,Georgia,29.412
GA,Appling County,11.918
GA,Atkinson County,6.678
GA,Bacon County,13.197
GA,Baker County,11
GA,Baldwin County,18.422
GA,Banks County,10.986
GA,Barrow County,16.785
GA,Bartow County,18.515
GA,Ben Hill County,10.553
GA,Berrien County,12.267
GA,Bibb County,24.59
GA,Bleckley County,17.725
GA,Brantley County,9.51
GA,Brooks County,12.437
GA,Bryan County,33.336
GA,Bulloch County,28.248
GA,Burke County,10.404
GA,Butts County,10.205
GA,Calhoun County,10.293
GA,Camden County,22.619
GA,Candler County,14.23
GA,Carroll County,18.185
GA,Catoosa County,19.65
GA,Charlton County,8.988
GA,Chatham County,32.895
GA,Chattahoochee County,30.118
GA,Chattooga County,8.859
GA,Cherokee County,35.497
GA,Clarke County,40.753
GA,Clay County,7.438
GA,Clayton County,19.029
GA,Clinch County,14.383
GA,Cobb County,44.986
GA,Coffee County,13.084
GA,Colquitt County,12.924
GA,Columbia County,35.1
GA,Cook County,13.838
GA,Coweta County,28.085
GA,Crawford County,13.115
GA,Crisp County,15.077
GA,Dade County,13.798
GA,Dawson County,29.841
GA,Decatur County,16.889
GA,DeKalb County,41.745
GA,Dodge County,13.535
GA,Dooly County,11.263
GA,Dougherty County,19.766
GA,Douglas County,26.148
GA,Early County,14.071
GA,Echols County,7.867
GA,Effingham County,18.279
GA,Elbert County,11.69
GA,Emanuel County,11.714
GA,Evans County,15.097
GA,Fannin County,17.722
GA,Fayette County,45.777
GA,Floyd County,19.801
GA,Forsyth County,48.27
GA,Franklin County,12.635
GA,Fulton County,49.806
GA,Gilmer County,17.839
GA,Glascock County,8.221
GA,Glynn County,28.164
GA,Gordon County,12.916
GA,Grady County,12.77
GA,Greene County,24.747
GA,Gwinnett County,34.93
GA,Habersham County,17.512
GA,Hall County,22.474
GA,Hancock County,10.89
GA,Haralson County,13.764
GA,Harris County,26.601
GA,Hart County,13.652
GA,Heard County,10.502
GA,Henry County,27.479
GA,Houston County,24.034
GA,Irwin County,11.149
GA,Jackson County,19.068
GA,Jasper County,10.363
GA,Jeff Davis County,10.748
GA,Jefferson County,10.416
GA,Jenkins County,13.026
GA,Johnson County,8.69
GA,Jones County,20.232
GA,Lamar County,17.158
GA,Lanier County,15.401
GA,Laurens County,15.237
GA,Lee County,24.163
GA,Liberty County,18.9
GA,Lincoln County,13.153
GA,Long County,15.238
GA,Lowndes County,23.855
GA,Lumpkin County,26.985
GA,McDuffie County,14.184
GA,McIntosh County,13.767
GA,Macon County,8.53
GA,Madison County,15.471
GA,Marion County,11.076
GA,Meriwether County,10.146
GA,Miller County,11.403
GA,Mitchell County,11.994
GA,Monroe County,22.185
GA,Montgomery County,15.553
GA,Morgan County,20.771
GA,Murray County,10.865
GA,Muscogee County,25.002
GA,Newton County,19.814
GA,Oconee County,46.558
GA,Oglethorpe County,16.616
GA,Paulding County,24.633
GA,Peach County,20.151
GA,Pickens County,24.757
GA,Pierce County,12.901
GA,Pike County,15.307
GA,Polk County,12.984
GA,Pulaski County,11.812
GA,Putnam County,18.293
GA,Quitman County,8.561
GA,Rabun County,26.336
GA,Randolph County,13.354
GA,Richmond County,21.044
GA,Rockdale County,25.961
GA,Schley County,14.864
GA,Screven County,14.379
GA,Seminole County,14.917
GA,Spalding County,15.39
GA,Stephens County,17.623
GA,Stewart County,10.419
GA,Sumter County,19.949
GA,Talbot County,12.647
GA,Taliaferro County,8.768
GA,Tattnall County,11.366
GA,Taylor County,11.321
GA,Telfair County,9.125
GA,Terrell County,12.076
GA,Thomas County,19.53
GA,Tift County,17.52
GA,Toombs County,17.019
GA,Towns County,25.133
GA,Treutlen County,16.493
GA,Troup County,18.757
GA,Turner County,12.277
GA,Twiggs County,11.642
GA,Union County,22.368
GA,Upson County,13.353
GA,Walker County,15.019
GA,Walton County,18.583
GA,Ware County,12.825
GA,Warren County,12.089
GA,Washington County,12.3
GA,Wayne County,13.324
GA,Webster County,9.424
GA,Wheeler County,4.938
GA,White County,20.792
GA,Whitfield County,13.551
GA,Wilcox County,9.53
GA,Wilkes County,13.786
GA,Wilkinson County,8.641
GA,Worth County,10.213
HI,Hawaii,31.369
HI,Hawaii County,27.591
HI,Honolulu County,33.351
HI,Kalawao County,29.762
HI,Kauai County,27.79
HI,Maui County,25.698
ID,Idaho,26.249
ID,Ada County,36.97
ID,Adams County,22.683
ID,Bannock County,27.532
ID,Bear Lake County,19.526
ID,Benewah County,13.607
ID,Bingham County,18.051
ID,Blaine County,41.85
ID,Boise County,26.968
ID,Bonner County,22.056
ID,Bonneville County,27.837
ID,Boundary County,17.47
ID,Butte County,14.896
ID,Camas County,20.529
ID,Canyon County,18.354
ID,Caribou County,18.068
ID,Cassia County,18.563
ID,Clark County,15.229
ID,Clearwater County,16.828
ID,Custer County,26.174
ID,Elmore County,16.563
ID,Franklin County,19.576
ID,Fremont County,20.872
ID,Gem County,15.272
ID,Gooding County,14.278
ID,Idaho County,16.894
ID,Jefferson County,20.782
ID,Jerome County,14.261
ID,Kootenai County,23.983
ID,Latah County,45.938
ID,Lemhi County,21.048
ID,Lewis County,16.015
ID,Lincoln County,11.825
ID,Madison County,36.815
ID,Minidoka County,14.881
ID,Nez Perce County,22.198
ID,Oneida County,16.348
ID,Owyhee County,9.67
ID,Payette County,15.847
ID,Power County,15.321
ID,Shoshone County,12.822
ID,Teton County,39.965
ID,Twin Falls County,18.145
ID,Valley County,30.974
ID,Washington County,15.429
IL,Illinois,32.894
IL,Adams County,22.6
IL,Alexander County,8.985
IL,Bond County,18.264
IL,Boone County,21.51
IL,Brown County,14.3
IL,Bureau County,18.805
IL,Calhoun County,15.042
IL,Carroll County,16.359
IL,Cass County,13.831
IL,Champaign County,43.927
IL,Christian County,15.079
IL,Clark County,16.474
IL,Clay County,14.798
IL,Clinton County,21.158
IL,Coles County,25.325
IL,Cook County,36.471
IL,Crawford County,17.181
IL,Cumberland County,14.77
IL,DeKalb County,30.826
IL,De Witt County,20.404
IL,Douglas County,19.109
IL,DuPage County,47.312
IL,Edgar County,18.029
IL,Edwards County,12.014
IL,Effingham County,22.48
IL,Fayette County,13.567
IL,Ford County,17.382
IL,Franklin County,15.272
IL,Fulton County,16.435
IL,Gallatin County,11.513
IL,Greene County,11.161
IL,Grundy County,21.773
IL,Hamilton County,15.73
IL,Hancock County,19.599
IL,Hardin County,11.321
IL,Henderson County,13.27
IL,Henry County,21.271
IL,Iroquois County,14.618
IL,Jackson County,35.905
IL,Jasper County,18.265
IL,Jefferson County,16.43
IL,Jersey County,18.38
IL,Jo Daviess County,24.102
IL,Johnson County,16.668
IL,Kane County,32.104
IL,Kankakee County,18.958
IL,Kendall County,34.272
IL,Knox County,18.07
IL,Lake County,43.696
IL,La Salle County,16.963
IL,Lawrence County,10.148
IL,Lee County,17.711
IL,Livingston County,15.212
IL,Logan County,18.375
IL,McDonough County,33.543
IL,McHenry County,33.247
IL,McLean County,44.53
IL,Macon County,22.806
IL,Macoupin County,18.248
IL,Madison County,25.664
IL,Marion County,15.029
IL,Marshall County,16.134
IL,Mason County,14.306
IL,Massac County,13.331
IL,Menard County,23.922
IL,Mercer County,17.528
IL,Monroe County,29.781
IL,Montgomery County,13.87
IL,Morgan County,20.637
IL,Moultrie County,17.057
IL,Ogle County,19.838
IL,Peoria County,29.798
IL,Perry County,13.381
IL,Piatt County,29.864
IL,Pike County,15.347
IL,Pope County,13.742
IL,Pulaski County,11.032
IL,Putnam County,14.398
IL,Randolph County,12.995
IL,Richland County,20.586
IL,Rock Island County,22.041
IL,St. Clair County,26.145
IL,Saline County,15.981
IL,Sangamon County,34.32
IL,Schuyler County,18.893
IL,Scott County,12.095
IL,Shelby County,15.192
IL,Stark County,16.722
IL,Stephenson County,17.863
IL,Tazewell County,25.011
IL,Union County,21.295
IL,Vermilion County,13.96
IL,Wabash County,17.177
IL,Warren County,21.937
IL,Washington County,20.874
IL,Wayne County,13.977
IL,White County,13.725
IL,Whiteside County,17.268
IL,Will County,33.455
IL,Williamson County,22.075
IL,Winnebago County,22.409
IL,Woodford County,30.442
IN,Indiana,24.611
IN,Adams County,15.61
IN,Allen County,27.37
IN,Bartholomew County,29.676
IN,Benton County,17.061
IN,Blackford County,10.966
IN,Boone County,44.515
IN,Brown County,23.474
IN,Carroll County,17.426
IN,Cass County,13.95
IN,Clark County,20.199
IN,Clay County,16.928
IN,Clinton County,14.89
IN,Crawford County,9.794
IN,Daviess County,14.005
IN,Dearborn County,19.964
IN,Decatur County,18.179
IN,DeKalb County,17.369
IN,Delaware County,23.285
IN,Dubois County,19.729
IN,Elkhart County,18.269
IN,Fayette County,10.678
IN,Floyd County,26.928
IN,Fountain County,14.461
IN,Franklin County,19.147
IN,Fulton County,13.72
IN,Gibson County,15.631
IN,Grant County,16.725
IN,Greene County,14.347
IN,Hamilton County,56.281
IN,Hancock County,28.982
IN,Harrison County,16.903
IN,Hendricks County,34.691
IN,Henry County,15.733
IN,Howard County,19.549
IN,Huntington County,18.866
IN,Jackson County,16.169
IN,Jasper County,16.542
IN,Jay County,10.89
IN,Jefferson County,17.044
IN,Jennings County,9.637
IN,Johnson County,29.501
IN,Knox County,15.236
IN,Kosciusko County,21.225
IN,LaGrange County,11.196
IN,Lake County,20.888
IN,LaPorte County,17.587
IN,Lawrence County,14.343
IN,Madison County,17.393
IN,Marion County,29.021
IN,Marshall County,18.531
IN,Martin County,11.376
IN,Miami County,11.935
IN,Monroe County,45.144
IN,Montgomery County,16.75
IN,Morgan County,15.53
IN,Newton County,10.544
IN,Noble County,14.146
IN,Ohio County,13.846
IN,Orange County,11.907
IN,Owen County,12.009
IN,Parke County,11.785
IN,Perry County,13.426
IN,Pike County,12.611
IN,Porter County,26.126
IN,Posey County,20.562
IN,Pulaski County,10.67
IN,Putnam County,15.034
IN,Randolph County,13.07
IN,Ripley County,17.441
IN,Rush County,14.028
IN,St. Joseph County,28.245
IN,Scott County,12.988
IN,Shelby County,16.634
IN,Spencer County,15.325
IN,Starke County,11.61
IN,Steuben County,19.945
IN,Sullivan County,12.66
IN,Switzerland County,8.274
IN,Tippecanoe County,35.277
IN,Tipton County,21.06
IN,Union County,18.556
IN,Vanderburgh County,24.902
IN,Vermillion County,12.983
IN,Vigo County,23.176
IN,Wabash County,18.297
IN,Warren County,19.567
IN,Warrick County,28
IN,Washington County,12.707
IN,Wayne County,17.135
IN,Wells County,17.395
IN,White County,15.685
IN,Whitley County,18.289
IA,Iowa,27.172
IA,Adair County,16.569
IA,Adams County,16.703
IA,Allamakee County,17.029
IA,Appanoose County,18.123
IA,Audubon County,13.142
